secprov,seccionId,name,circuitoId,mesasTotalizadas,cantidadElectores,EN_BLANCO,LLA_JxC,NO_VOTANTES,OTROS,UxP
2,11,Berazategui,0789F,38,13231,432,2719,3604,1229,5247
2,11,Berazategui,0790A,34,11813,330,2015,4139,756,4573
2,11,Berazategui,0792A,49,16807,504,3545,5017,1237,6504
2,11,Berazategui,0792B,39,13951,294,2225,5282,1149,5001
2,11,Berazategui,0792C,51,17704,533,2668,5560,1357,7586
2,11,Berazategui,0792D,51,17808,627,2754,5672,1397,7358
2,12,Berisso,00511,21,7119,174,1330,1943,1379,2293
2,12,Berisso,00512,62,21609,553,4295,6348,3457,6956
2,12,Berisso,00513,96,33804,882,6373,10698,5357,10494
2,12,Berisso,0513A,71,25015,669,5052,9580,3008,6706
2,13,Bolivar,00125,79,27445,3050,4618,9819,3533,6425
2,13,Bolivar,00126,1,37,0,5,26,3,3
2,13,Bolivar,00127,1,225,15,33,76,23,78
2,13,Bolivar,00128,1,48,2,9,26,5,6
2,13,Bolivar,00129,1,44,2,7,22,6,7
2,13,Bolivar,00131,1,35,1,9,10,3,12
2,13,Bolivar,00132,8,2498,146,426,938,459,529
2,13,Bolivar,00133,4,1354,73,232,549,195,305
2,13,Bolivar,0125A,1,37,5,6,18,6,2
2,13,Bolivar,0131A,1,43,9,9,11,8,6
2,14,Bragado,00136,95,33013,1272,7655,12233,3735,8118
2,14,Bragado,00137,3,1049,34,206,340,120,349
2,14,Bragado,00138,1,121,4,21,46,13,37
2,14,Bragado,00139,1,16,0,0,8,0,8
2,14,Bragado,00140,2,586,6,104,243,68,165
2,14,Bragado,00141,1,218,4,39,108,22,45
2,14,Bragado,00142,1,64,2,16,23,4,19
2,14,Bragado,00143,7,2212,47,396,824,230,715
2,14,Bragado,00144,2,388,14,122,146,55,51
2,14,Bragado,00145,2,352,6,136,109,46,55
2,15,Brandsen,00148,69,23826,1475,4268,8742,3628,5713
2,15,Brandsen,00149,2,384,6,126,143,38,71
2,15,Brandsen,00150,7,2392,118,392,689,536,657
2,15,Brandsen,00151,4,1380,37,244,528,273,298
2,15,Brandsen,00152,1,314,12,27,108,61,106
2,15,Brandsen,00153,1,303,14,88,86,43,72
2,15,Brandsen,0153A,1,266,3,68,98,38,59
2,16,Campana,00155,58,20131,638,5763,7083,2091,4556
2,16,Campana,00156,52,18136,522,3438,7024,1822,5330
2,16,Campana,0155A,59,20889,590,5702,7765,2438,4394
2,16,Campana,0156A,57,19711,636,5244,6835,2219,4777
2,16,Campana,0156B,36,12564,395,2483,4496,1260,3930
2,17,CA\u00d1UELAS,00157,99,35093,727,7070,12771,5602,8923
2,17,CA\u00d1UELAS,00158,12,4111,71,919,1431,658,1032
2,17,CA\u00d1UELAS,00159,4,1127,23,242,373,180,309
2,17,CA\u00d1UELAS,00160,1,170,5,39,61,28,37
2,17,CA\u00d1UELAS,00162,1,212,4,34,65,41,68
2,17,CA\u00d1UELAS,0158A,24,8400,183,1102,3074,1458,2583
2,17,CA\u00d1UELAS,0158B,16,5332,122,839,1945,656,1770
2,18,Capitan Sarmiento,00121,41,13873,753,3693,4826,1428,3173
2,18,Capitan Sarmiento,00122,1,326,6,73,121,48,78
2,19,Carlos Casares,00164,53,18341,2312,3256,6859,1827,4087
2,19,Carlos Casares,00165,2,575,44,78,211,112,130
2,19,Carlos Casares,00166,1,182,27,10,90,31,24
2,19,Carlos Casares,00167,2,500,35,74,151,34,206
2,19,Carlos Casares,0164A,1,33,0,5,26,1,1
2,19,Carlos Casares,0165A,1,80,7,8,36,8,21
2,19,Carlos Casares,0165B,2,464,34,76,176,46,132
2,19,Carlos Casares,0166A,1,121,2,7,63,22,27
2,19,Carlos Casares,0167A,1,234,26,34,104,35,35
2,20,Carlos Tejedor,00169,17,5493,173,832,1527,674,2287
2,20,Carlos Tejedor,00170,2,506,9,63,157,100,177
2,20,Carlos Tejedor,00171,2,401,11,91,109,45,145
2,20,Carlos Tejedor,00172,2,609,14,116,146,76,257
2,20,Carlos Tejedor,00173,10,3176,60,521,974,505,1116
2,21,Carmen de Areco,00175,38,13056,372,3263,4243,1891,3287
2,21,Carmen de Areco,00176,2,544,14,142,209,50,129
2,21,Carmen de Areco,00177,1,179,1,57,61,24,36
2,22,Patagones,00729,61,20843,497,3009,10232,2507,4598
2,22,Patagones,00730,1,120,3,15,63,13,26
2,22,Patagones,00731,7,2138,47,343,1080,356,312
2,22,Patagones,00732,15,5090,87,1247,2468,544,744
2,22,Patagones,00733,4,1154,22,317,446,170,199
2,22,Patagones,0731A,3,892,14,195,465,100,118
2,23,Castelli,00185,25,7986,249,1310,2219,1369,2839
2,23,Castelli,00187,1,148,8,24,45,27,44
2,24,Colon,00230,64,22023,1863,3211,8547,3851,4551
2,24,Colon,00231,1,232,16,17,80,51,68
2,24,Colon,0230A,1,76,8,11,29,13,15
