secprov,seccionId,name,circuitoId,mesasTotalizadas,cantidadElectores,anioEleccion,EN_BLANCO,JxC,LLA,NO_VOTANTES,OTROS,UxP,VOTANTES
2,7,Bahia Blanca,00091,39,13458,2023,1360,1489,3240,3633,530,3206,9825
2,7,Bahia Blanca,00092,28,9735,2023,888,1130,1735,3083,322,2577,6652
2,7,Bahia Blanca,00093,13,4465,2023,579,588,1002,977,127,1192,3488
2,8,Balcarce,00098,114,39642,2023,4628,10308,7843,9362,728,6773,30280
2,8,Balcarce,00099,2,614,2023,59,153,143,169,16,74,445
2,8,Balcarce,00100,1,280,2023,0,90,55,94,12,29,186
2,8,Balcarce,00101,2,490,2023,16,108,99,190,9,68,300
2,8,Balcarce,00102,1,118,2023,6,30,18,52,3,9,66
2,8,Balcarce,00103,1,128,2023,14,30,31,39,3,11,89
2,8,Balcarce,00104,1,262,2023,19,73,63,72,7,28,190
2,8,Balcarce,0103A,1,296,2023,25,68,99,65,7,32,231
2,9,Baradero,00105,68,23580,2023,2248,3603,3950,5803,487,7489,17777
2,9,Baradero,00106,2,497,2023,47,109,99,101,9,132,396
2,9,Baradero,00107,18,5540,2023,519,438,1051,1370,91,2071,4170
2,9,Baradero,00110,2,474,2023,49,90,91,74,3,167,400
2,9,Baradero,00111,1,244,2023,22,40,53,47,6,76,197
2,9,Baradero,00113,5,1342,2023,137,177,256,279,15,478,1063
2,10,Arrecifes,00117,71,24589,2023,2369,5740,4241,5303,365,6571,19286
2,10,Arrecifes,00118,2,664,2023,29,75,83,370,4,103,294
2,10,Arrecifes,00120,2,465,2023,32,135,104,87,5,102,378
2,10,Arrecifes,0117A,1,71,2023,7,24,17,13,1,9,58
2,10,Arrecifes,0117B,2,462,2023,7,50,44,304,1,56,158
2,11,Berazategui,00789,110,38454,2023,2519,4253,6677,9129,1582,14294,29325
2,11,Berazategui,00790,66,22739,2023,1608,3932,4364,4157,939,7739,18582
2,11,Berazategui,00792,69,24435,2023,1577,3462,4183,6210,779,8224,18225
2,11,Berazategui,0789A,99,35179,2023,2631,3952,6180,7850,1275,13291,27329
2,11,Berazategui,0789B,50,17252,2023,1045,2547,3143,3703,760,6054,13549
2,11,Berazategui,0789C,69,25802,2023,1314,4174,3768,8817,769,6960,16985
2,11,Berazategui,0789D,56,19387,2023,1460,2033,3345,3397,797,8355,15990
2,11,Berazategui,0789E,48,16567,2023,1105,2740,3181,3023,741,5777,13544
2,11,Berazategui,0789F,38,13132,2023,808,2469,2518,2226,556,4555,10906
2,11,Berazategui,0790A,31,10810,2023,715,1363,2044,2452,401,3835,8358
2,11,Berazategui,0792A,49,17047,2023,1289,2505,3173,3750,633,5697,13297
2,11,Berazategui,0792B,37,12900,2023,992,1214,2425,3227,443,4599,9673
2,11,Berazategui,0792C,50,17313,2023,1292,2095,3228,2951,673,7074,14362
2,11,Berazategui,0792D,49,17106,2023,1262,2030,2922,4038,681,6173,13068
2,12,Berisso,00511,21,7209,2023,614,1216,1146,1318,250,2665,5891
